Time,Baseline,IndexFund,MovingAverage,MovingAverageWithSentiment,SelectionBySentiment,SelectionBySentiment(AllStocks),SelectionBySentiment(OneStock)
"2014-01-02T08:00:00Z",1100000,1099994.000000,1100000,1100000,1100000,1100000,1100000
"2014-01-03T08:00:00Z",1099988.00,1092467.235720,1099970.000000,1099970.000000,1099994.00,1099994.00,1099994.00
"2014-01-06T08:00:00Z",1102408.966366,1091931.794030,1104489.503987,1104489.503987,1138793.300000,1138787.300000,1138805.300000
"2014-01-07T08:00:00Z",1114121.741817,1089789.735720,1111026.753987,1111026.753987,1115157.820925,1164224.382555,1207430.642778
"2014-01-08T08:00:00Z",1144351.416366,1095257.823205,1143635.338791,1143635.338791,1221730.920925,1275489.402555,1181170.742778
"2014-01-09T08:00:00Z",1153995.190464,1095912.308925,1155972.585719,1155984.585719,1269848.649205,1325719.582079,1202690.124802
"2014-01-10T08:00:00Z",1141760.992377,1096543.044030,1138835.646400,1141592.723987,1252028.344307,1317527.847162,1215165.616196
"2014-01-13T08:00:00Z",1145404.603835,1097257.014875,1136176.025211,1141258.642255,1250899.817703,1272838.675620,1217583.948600
"2014-01-14T08:00:00Z",1138157.922227,1085416.500000,1123995.055521,1127677.515280,1243302.275391,1266233.560779,1236659.995630
"2014-01-15T08:00:00Z",1168301.948935,1096816.720825,1129758.555521,1151777.459790,1255394.619721,1278549.135928,1248939.123822
"2014-01-16T08:00:00Z",1171377.999708,1101261.352975,1149506.142937,1171684.430051,1275718.395851,1299242.251617,1250148.196334
"2014-01-17T08:00:00Z",1178383.014692,1099024.147025,1142457.417649,1164943.221037,1286196.243277,1306509.709933,1291591.196334
"2014-01-21T08:00:00Z",1171902.439687,1097132.088080,1135103.132753,1157337.501029,1289655.726951,1294319.058489,1267023.583546
"2014-01-22T08:00:00Z",1181229.676020,1099309.735720,1146928.706631,1170635.377279,1335995.273457,1353046.497849,1290244.256334
"2014-01-23T08:00:00Z",1186577.162237,1097869.882130,1136657.376076,1176883.336861,1295891.771662,1320522.303346,1260655.167156
"2014-01-24T08:00:00Z",1188392.318055,1088748.485720,1138054.124450,1178912.209906,1297823.060291,1322478.992525,1260038.711745
"2014-01-27T08:00:00Z",1173043.139633,1067370.176180,1126619.939055,1162775.947260,1305571.175427,1295306.113514,1244615.711745
"2014-01-28T08:00:00Z",1152669.454325,1062592.308925,1126435.871591,1150743.742806,1246127.235457,1241808.948654,1151160.496269
"2014-01-29T08:00:00Z",1190033.025203,1066846.573205,1153693.260388,1185178.084433,1378178.625457,1373396.828654,1188638.256269
"2014-01-30T08:00:00Z",1187241.570148,1059123.485105,1148918.062212,1181365.879849,1370321.308504,1370983.401036,1206932.235929
"2014-01-31T08:00:00Z",1184881.555612,1067280.911900,1136691.550830,1167223.568683,1371158.848504,1371821.351036,1207674.485929
"2014-02-03T08:00:00Z",1199142.962908,1062401.941055,1146545.038611,1181684.591676,1434769.803458,1435462.506030,1305682.075577
"2014-02-04T08:00:00Z",1185114.239430,1039280.176795,1131038.836421,1164029.188237,1401568.013595,1402244.226163,1280294.593478
"2014-02-05T08:00:00Z",1200741.366627,1044968.411900,1130673.324419,1165142.554054,1408149.163347,1408828.955911,1309023.241379
"2014-02-06T08:00:00Z",1192268.357002,1044736.352975,1122686.675986,1157379.218005,1399807.907615,1400483.490221,1308240.028053
"2014-02-07T08:00:00Z",1197377.664282,1058433.264875,1123890.687498,1160828.237403,1415700.824578,1416383.547184,1315278.358053
"2014-02-10T08:00:00Z",1239067.104581,1070446.279770,1165405.444263,1172404.348384,1458959.791813,1459659.794416,1375792.145319
"2014-02-11T08:00:00Z",1262418.156282,1072975.029770,1188067.451188,1195285.966070,1495924.717781,1496642.220366,1364024.281131
"2014-02-12T08:00:00Z",1264134.137297,1084678.705950,1184829.004033,1193873.697538,1502834.146059,1503545.318626,1389045.558339
"2014-02-13T08:00:00Z",1242212.046356,1081525.176795,1174445.505172,1181261.774456,1455968.195067,1473287.488257,1378287.917855
"2014-02-14T08:00:00Z",1261873.810158,1089640.985720,1201324.369462,1206440.418168,1497162.855067,1505179.753607,1407335.657855
"2014-02-18T08:00:00Z",1256397.724606,1095930.176180,1198668.854029,1200983.110090,1498670.649746,1495565.405959,1416480.514171
"2014-02-19T08:00:00Z",1263738.398694,1095852.823205,1207482.087611,1209915.646521,1525166.754666,1508235.565397,1446382.013335
"2014-02-20T08:00:00Z",1253426.275493,1090105.102975,1200579.744902,1206308.673214,1533736.669560,1498180.645945,1461038.293335
"2014-02-21T08:00:00Z",1256749.481174,1097143.926795,1211183.829007,1216445.358136,1534976.234284,1501336.991789,1475865.803999
"2014-02-24T08:00:00Z",1257397.990687,1094591.426180,1213488.431527,1216931.177822,1528509.920524,1495004.076557,1449163.131419
"2014-02-25T08:00:00Z",1291153.697950,1101065.029155,1244735.360819,1260186.305412,1538952.435172,1552187.396445,1466408.220339
"2014-02-26T08:00:00Z",1309596.084003,1099952.382130,1263635.184785,1280037.980529,1614445.992090,1609383.310400,1491212.330339
"2014-02-27T08:00:00Z",1305966.031290,1099422.823205,1257659.102342,1274817.378429,1624929.025688,1605409.466571,1484103.912598
"2014-02-28T08:00:00Z",1313991.015440,1105503.705950,1263837.886624,1281964.323783,1599705.476892,1619951.832377,1418203.878518
"2014-03-03T08:00:00Z",1286661.570093,1107026.941055,1238333.731003,1253585.765778,1566983.545284,1577540.084980,1409490.266151
"2014-03-04T08:00:00Z",1398522.433166,1101999.147025,1343928.405823,1355880.509750,1852145.487827,1828113.946144,1407167.636151
"2014-03-05T08:00:00Z",1421875.432323,1116767.088080,1365786.179811,1377129.021765,1874603.139963,1850268.108510,1414312.076547
"2014-03-06T08:00:00Z",1408761.082731,1116844.441055,1356543.484987,1366104.811557,1879853.660251,1837126.865988,1419279.894536
"2014-03-07T08:00:00Z",1411909.614467,1119426.720825,1361732.986282,1365565.166908,1844763.903409,1814270.682495,1384989.320428
"2014-03-10T08:00:00Z",1488073.605984,1119034.000000,1436707.903766,1425039.657128,1819287.626760,1779537.643816,1377860.220856
"2014-03-11T08:00:00Z",1567405.223827,1119272.014875,1514169.060418,1489151.121268,1762532.227106,1764939.346823,1346374.320856
"2014-03-12T08:00:00Z",1323350.139226,1112066.573205,1290570.887875,1280816.187828,1669434.726941,1671694.446757,1331217.076576
"2014-03-13T08:00:00Z",1409315.338314,1113798.044030,1293954.662088,1301851.254655,1711169.847132,1702431.919540,1346301.693350
"2014-03-14T08:00:00Z",1385333.915246,1099523.926795,1286761.788644,1288305.424621,1651484.347132,1643040.419540,1299352.693350
"2014-03-17T08:00:00Z",1386877.367954,1098179.294030,1286761.788644,1301926.233573,1632871.554282,1668523.987261,1281970.430226
"2014-03-18T08:00:00Z",1380585.458039,1107764.735105,1286749.788644,1319518.178067,1652655.640864,1689746.249757,1274870.543978
"2014-03-19T08:00:00Z",1387303.144727,1115696.058925,1278048.923238,1310372.755383,1677472.895512,1720034.843321,1298745.754738
"2014-03-20T08:00:00Z",1386424.491757,1108460.838695,1267106.449148,1300221.791549,1658379.875512,1700457.323321,1227894.454738
"2014-03-21T08:00:00Z",1385537.146744,1117052.676180,1265200.012561,1304175.218465,1619143.317205,1660225.727087,1198848.755225
"2014-03-24T08:00:00Z",1380725.307053,1112970.985105,1262963.154224,1302780.087846,1597527.482037,1646736.767552,1192801.128481
"2014-03-25T08:00:00Z",1369831.633308,1108097.897025,1255744.457052,1295265.608904,1577390.545367,1625980.692524,1184242.568481
"2014-03-26T08:00:00Z",1359858.713414,1112625.838695,1253949.483457,1287570.214317,1591847.871451,1628263.814959,1202498.937414
"2014-03-27T08:00:00Z",1328788.867019,1103712.750000,1213955.220712,1243167.055157,1514134.942048,1561218.361006,1188198.904414
"2014-03-28T08:00:00Z",1334227.187892,1102498.926795,1221991.618333,1254678.957425,1527633.989906,1574443.245502,1184446.875814
"2014-03-31T08:00:00Z",1333416.166790,1107907.529155,1228836.154738,1261424.622065,1504961.053379,1551075.546934,1173621.816505
"2014-04-01T08:00:00Z",1330346.850238,1116713.485720,1226335.145836,1263930.931590,1362599.953379,1404352.326934,1062603.636505
"2014-04-02T08:00:00Z",1423668.555976,1124240.250000,1244317.836002,1283205.630757,2626878.103379,2707364.256934,2048538.806505
"2014-04-03T08:00:00Z",1429469.797015,1127108.191055,1250314.158902,1283022.053306,2642897.320183,2712668.344466,2055916.970429
"2014-04-04T08:00:00Z",1419832.156669,1126406.058925,1241225.126613,1274486.115940,2635378.694942,2704951.819615,2051082.763392
